pso_particles,pso_max_iter,pso_w,pso_w_end,pso_c1,pso_c2,charger_count,weight_load,weight_sensitivity,best_fitness,mean_fitness,std_fitness,mean_load_coverage,mean_avg_sensitivity,mean_runtime,best_selected_nodes
100,100,0.6,0.2,2.0,2.0,10,0.6,0.4,0.41651774739392505,0.413720131550818,0.0018492273389086153,0.5502018842530283,0.20899750249750246,6348.757627248764,"[32, 25, 8, 2, 24, 30, 20, 19, 7, 4]"
50,200,0.6,0.2,1.5,2.0,10,0.6,0.4,0.41651774739392505,0.4132963156179845,0.002708136630103756,0.5534320323014805,0.2030927405927406,80.02995615005493,"[2, 30, 8, 20, 24, 25, 7, 4, 19, 32]"
50,200,0.7,0.2,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41326060453678226,0.004208360106333662,0.5518169582772544,0.2054260739260739,67.12294578552246,"[8, 4, 19, 25, 30, 32, 2, 24, 7, 3]"
80,100,0.6,0.2,1.5,1.5,10,0.6,0.4,0.41451774739392505,0.4132463252315204,0.0009508676932115937,0.5485868102288022,0.21023559773559777,56.23735837936401,"[21, 25, 32, 7, 30, 4, 24, 2, 8, 19]"
100,200,0.7,0.2,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.4131706451466882,0.006728912396778807,0.5458950201884254,0.21408408258408257,134.78313069343568,"[7, 25, 19, 30, 2, 24, 8, 32, 3, 4]"
80,200,0.8,0.2,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.41302410300929815,0.005366763809769012,0.5485868102288022,0.20968004218004216,111.60064306259156,"[32, 19, 30, 7, 3, 2, 25, 24, 8, 4]"
100,200,0.6,0.2,2.0,2.0,10,0.6,0.4,0.4198510807272584,0.4126891759653536,0.0068988848359342915,0.5518169582772544,0.20399750249750248,137.02107462882995,"[2, 7, 19, 30, 24, 32, 25, 8, 3, 4]"
50,200,0.6,0.3,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.4123230132810214,0.006341654254306444,0.5523553162853297,0.20227455877455877,67.11749019622803,"[24, 19, 32, 25, 7, 2, 8, 30, 3, 4]"
80,100,0.6,0.2,1.5,2.0,10,0.6,0.4,0.41954152487261503,0.4122867918084608,0.010042318914786057,0.5534320323014805,0.2005689310689311,55.14698600769043,"[8, 30, 32, 2, 24, 25, 31, 19, 4, 7]"
100,100,0.7,0.3,1.5,2.0,10,0.6,0.4,0.41954152487261503,0.4122515691277468,0.006863830677543043,0.5518169582772543,0.20290348540348538,67.57830753326417,"[24, 7, 2, 25, 32, 31, 19, 30, 4, 8]"
80,200,0.8,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41217807339960777,0.009488353561279157,0.5475100942126515,0.20918004218004219,128.01365604400635,"[24, 3, 7, 25, 30, 19, 2, 32, 8, 4]"
100,200,0.6,0.2,2.0,1.5,10,0.6,0.4,0.41651774739392505,0.4121606045367822,0.004770336963254703,0.5518169582772544,0.20267607392607392,136.8833589553833,"[25, 2, 19, 30, 7, 24, 20, 8, 32, 4]"
100,200,0.8,0.2,2.0,2.0,10,0.6,0.4,0.41500585865458006,0.4120976072828024,0.003654270450973584,0.5485868102288022,0.20736380286380282,85.88395528793335,"[19, 24, 8, 25, 2, 30, 20, 32, 7, 3]"
100,200,0.7,0.2,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.41184521992139755,0.011561515389211201,0.5518169582772543,0.20188761238761238,137.87268314361572,"[7, 25, 8, 2, 19, 24, 32, 30, 3, 4]"
80,200,0.7,0.2,1.5,1.5,10,0.6,0.4,0.41954152487261503,0.4116166484928261,0.006156147999402241,0.5518169582772543,0.20131618381618382,108.14840636253356,"[4, 8, 19, 24, 30, 7, 32, 25, 2, 31]"
80,200,0.7,0.3,2.0,2.0,10,0.6,0.4,0.41954152487261503,0.41150345527061544,0.006938325977847866,0.5550471063257066,0.1961879786879787,110.56318593025208,"[7, 32, 25, 24, 19, 2, 30, 4, 8, 31]"
100,200,0.6,0.3,1.5,1.5,10,0.6,0.4,0.41651774739392505,0.41150345527061544,0.006872551646666801,0.5550471063257066,0.1961879786879787,129.30496258735656,"[2, 32, 24, 7, 25, 23, 19, 8, 30, 4]"
50,200,0.6,0.2,2.0,2.0,10,0.6,0.4,0.41451774739392505,0.41149790932859576,0.002740316163299173,0.5502018842530283,0.20344194694194692,67.2461853981018,"[21, 2, 8, 32, 30, 24, 25, 19, 4, 7]"
100,100,0.6,0.3,2.0,2.0,10,0.6,0.4,0.41954152487261503,0.41148809691878335,0.006375723972128781,0.5502018842530283,0.20341741591741594,81.01778841018677,"[4, 25, 32, 7, 19, 24, 2, 31, 8, 30]"
80,200,0.7,0.2,2.0,1.5,10,0.6,0.4,0.41536296946660334,0.4113939378701155,0.0021921601029380893,0.5518169582772543,0.20075940725940722,107.98673133850097,"[29, 25, 24, 8, 4, 32, 2, 19, 30, 7]"
50,200,0.6,0.2,1.5,1.5,10,0.6,0.4,0.41451774739392505,0.4113939378701155,0.0032582209993360918,0.5518169582772543,0.20075940725940727,79.25088324546815,"[19, 21, 24, 25, 30, 8, 4, 2, 7, 32]"
100,200,0.7,0.2,2.0,1.5,10,0.6,0.4,0.4146963027999367,0.410837583322913,0.006020438806187913,0.5545087483176312,0.19533083583083583,111.60009236335755,"[32, 2, 24, 30, 20, 25, 8, 7, 19, 31]"
100,200,0.8,0.2,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.4107881118731724,0.006518589190383841,0.5426648721399732,0.21297297147297148,122.38416171073914,"[25, 30, 32, 8, 2, 7, 19, 24, 4, 3]"
100,100,0.8,0.2,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.41062964895131787,0.00695015056270123,0.5534320323014805,0.19642607392607392,68.02488842010499,"[4, 32, 24, 3, 8, 25, 7, 2, 30, 19]"
80,200,0.6,0.3,1.5,2.0,10,0.6,0.4,0.41651774739392505,0.41061588003741434,0.008684694907329581,0.5475100942126515,0.20527455877455875,108.12883763313293,"[7, 30, 8, 25, 23, 2, 19, 32, 24, 4]"
80,100,0.6,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.4105444578750097,0.0066820411085743965,0.5442799461641992,0.20994122544122545,54.411196899414065,"[7, 25, 24, 30, 32, 8, 19, 2, 3, 4]"
50,100,0.8,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41052013155081796,0.008309980237946718,0.5502018842530283,0.2009975024975025,40.1967538356781,"[2, 32, 7, 25, 4, 8, 24, 30, 19, 3]"
80,200,0.7,0.2,2.0,2.0,10,0.6,0.4,0.41651774739392505,0.41045634661435465,0.0043638572594949365,0.5523553162853297,0.19760789210789212,107.95314841270446,"[32, 4, 25, 20, 7, 2, 19, 30, 24, 8]"
80,200,0.6,0.3,2.0,2.0,10,0.6,0.4,0.41802963613327004,0.4104407750168181,0.007595915001915592,0.5458950201884253,0.20725940725940725,107.7983280658722,"[24, 8, 19, 7, 30, 2, 25, 32, 31, 3]"
100,200,0.8,0.2,1.5,2.0,10,0.6,0.4,0.4146963027999367,0.41038492445195,0.004335097643194434,0.5491251682368775,0.20227455877455877,107.66715669631958,"[32, 19, 25, 30, 2, 7, 24, 20, 31, 8]"
50,200,0.7,0.2,1.5,2.0,10,0.6,0.4,0.41954152487261503,0.4103492133707477,0.00640231410389804,0.5475100942126513,0.20460789210789207,67.13592910766602,"[8, 4, 24, 32, 31, 30, 25, 2, 7, 3]"
50,200,0.7,0.2,2.0,2.0,10,0.6,0.4,0.4198510807272584,0.4100415697357824,0.007470205476758579,0.54535666218035,0.20706893106893104,69.79254970550537,"[7, 24, 4, 2, 30, 25, 8, 19, 32, 3]"
100,100,0.8,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.40975108713628233,0.008430241168703426,0.5485868102288022,0.20149750249750248,67.08719806671142,"[24, 7, 8, 2, 25, 19, 32, 30, 3, 4]"
80,100,0.6,0.2,2.0,1.5,10,0.6,0.4,0.41500585865458006,0.4097003020308538,0.006387958025158708,0.5442799461641992,0.20783083583083584,58.93528757095337,"[25, 32, 24, 19, 7, 2, 3, 30, 8, 23]"
80,200,0.6,0.2,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.40959554012609195,0.008075583796625561,0.5442799461641992,0.20756893106893104,125.46596579551696,"[2, 3, 19, 24, 30, 25, 7, 32, 8, 4]"
100,100,0.6,0.3,1.5,2.0,10,0.6,0.4,0.4146963027999367,0.4095628820708229,0.006568670331609525,0.5493943472409152,0.19981568431568428,84.1530695438385,"[7, 2, 25, 32, 19, 31, 30, 24, 23, 8]"
50,200,0.7,0.3,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.4094754070514501,0.011044528214643724,0.5458950201884253,0.20484598734598736,70.82648601531983,"[32, 30, 4, 2, 25, 24, 7, 19, 8, 3]"
50,200,0.8,0.3,1.5,1.5,10,0.6,0.4,0.41954152487261503,0.40946219183836946,0.005893439638655672,0.5518169582772543,0.19593004218004215,71.22509832382202,"[19, 2, 8, 32, 25, 30, 4, 7, 24, 31]"
50,200,0.6,0.3,2.0,2.0,10,0.6,0.4,0.4198510807272584,0.40945823747061977,0.009752215116290578,0.5448183041722746,0.20641813741813744,67.17264966964721,"[7, 3, 24, 19, 25, 32, 2, 8, 30, 4]"
80,100,0.7,0.3,1.5,2.0,10,0.6,0.4,0.41802963613327,0.4093717248207153,0.006846963752549175,0.555585464333782,0.19005111555111553,55.99098992347717,"[24, 2, 32, 31, 25, 7, 30, 19, 3, 8]"
50,200,0.7,0.3,1.5,2.0,10,0.6,0.4,0.41651774739392505,0.4093307606704646,0.006566875220304649,0.5469717362045762,0.20286929736929737,69.97945942878724,"[7, 19, 2, 30, 24, 8, 20, 25, 32, 4]"
100,100,0.6,0.3,2.0,1.5,10,0.6,0.4,0.41651774739392505,0.40932592064732043,0.003768075265835973,0.5415881561238224,0.21093256743256744,83.82919507026672,"[30, 19, 2, 24, 25, 8, 23, 32, 7, 4]"
80,200,0.7,0.3,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.40921139605123447,0.01092613342125152,0.5528936742934052,0.19368797868797868,94.24330787658691,"[24, 19, 4, 32, 30, 2, 7, 3, 25, 8]"
80,200,0.8,0.3,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.40894813369672045,0.008775162993624425,0.5378196500672947,0.21564085914085912,127.90834202766419,"[32, 25, 4, 7, 30, 24, 2, 8, 19, 3]"
100,100,0.7,0.2,1.5,2.0,10,0.6,0.4,0.41802963613327004,0.4088428421735285,0.006248753006453295,0.5502018842530283,0.19680427905427905,64.67424607276917,"[7, 32, 30, 24, 25, 19, 3, 8, 2, 31]"
